time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
2000-05-02 13:42:00,130.8,0.1502,0.1341999999999999,0.0496599999999999,0.04136,0.039,0.01966,1.1258823529411765e-08,6.457142857142858e-07
2000-05-02 13:43:00,137.2,0.1578,0.1417999999999999,0.05454,0.04624,0.0439,0.02094,1.1423529411764706e-08,6.485714285714287e-07
2000-05-02 13:44:00,143.6,0.1654,0.1494,0.05942,0.05112,0.0487999999999999,0.02222,1.2941176470588237e-08,6.571428571428571e-07
2000-05-02 13:45:00,150.0,0.173,0.157,0.0643,0.056,0.0537,0.0235,1.3176470588235294e-08,6.657142857142858e-07
2000-05-02 13:46:00,155.8,0.1717999999999999,0.14294,0.0634,0.05168,0.0484,0.02178,1.4823529411764708e-08,6.800000000000001e-07
2000-05-02 13:47:00,161.6,0.1706,0.12888,0.0625,0.04736,0.0431,0.02006,1.623529411764706e-08,7.128571428571429e-07
2000-05-02 13:48:00,167.4,0.1694,0.11482,0.0615999999999999,0.04304,0.0378,0.01834,1.6e-08,7.271428571428572e-07
2000-05-02 13:49:00,173.2,0.1682,0.10076,0.0607,0.03872,0.0325,0.01662,2.0588235294117653e-08,7.257142857142859e-07
2000-05-02 13:50:00,179.0,0.167,0.0867,0.0598,0.0344,0.0272,0.0149,2.2e-08,7.128571428571429e-07
2000-05-02 13:51:00,173.2,0.1576,0.09016,0.0636999999999999,0.04168,0.03546,0.01862,2.2e-08,7.071428571428572e-07
2000-05-02 13:52:00,167.4,0.1482,0.09362,0.0676,0.04896,0.0437199999999999,0.02234,2.105882352941177e-08,6.914285714285715e-07
2000-05-02 13:53:00,161.6,0.1388,0.09708,0.0715,0.05624,0.05198,0.02606,1.9647058823529413e-08,6.9e-07
2000-05-02 13:54:00,155.8,0.1294,0.1005399999999999,0.0754,0.06352,0.06024,0.02978,1.8823529411764708e-08,6.971428571428572e-07
2000-05-02 13:55:00,150.0,0.12,0.104,0.0793,0.0708,0.0685,0.0335,1.7411764705882353e-08,6.857142857142857e-07
2000-05-02 13:56:00,151.8,0.1273999999999999,0.1114,0.08664,0.07824,0.0758,0.04186,1.623529411764706e-08,6.757142857142858e-07
2000-05-02 13:57:00,153.6,0.1348,0.1187999999999999,0.09398,0.08568,0.0831,0.05022,1.5176470588235296e-08,6.757142857142858e-07
2000-05-02 13:58:00,155.4,0.1422,0.1261999999999999,0.10132,0.09312,0.0904,0.05858,1.5294117647058823e-08,6.857142857142857e-07
2000-05-02 13:59:00,157.2,0.1496,0.1336,0.10866,0.10056,0.0977,0.06694,1.5176470588235296e-08,6.871428571428573e-07
2000-05-02 14:00:00,159.0,0.157,0.141,0.116,0.108,0.105,0.0753,1.5176470588235296e-08,6.871428571428573e-07
2000-05-02 14:01:00,162.0,0.1596,0.1309199999999999,0.10572,0.09764,0.0948,0.0686,1.4823529411764708e-08,6.885714285714286e-07
2000-05-02 14:02:00,165.0,0.1622,0.1208399999999999,0.09544,0.08728,0.0846,0.0619,1.5176470588235296e-08,6.971428571428572e-07
2000-05-02 14:03:00,168.0,0.1648,0.11076,0.08516,0.07692,0.0744,0.0552,1.5176470588235296e-08,7.014285714285715e-07
2000-05-02 14:04:00,171.0,0.1674,0.1006799999999999,0.07488,0.06656,0.0642,0.0485,1.6e-08,7.128571428571429e-07
2000-05-02 14:05:00,174.0,0.17,0.0906,0.0646,0.0562,0.054,0.0418,1.8941176470588242e-08,7.5e-07
2000-05-02 14:06:00,174.4,0.175,0.10808,0.06334,0.0538,0.05126,0.03906,1.9058823529411764e-08,7.685714285714286e-07
2000-05-02 14:07:00,174.8,0.18,0.12556,0.06208,0.0514,0.04852,0.03632,1.752941176470588e-08,7.571428571428572e-07
2000-05-02 14:08:00,175.2,0.185,0.14304,0.06082,0.049,0.04578,0.03358,1.7411764705882353e-08,7.485714285714286e-07
2000-05-02 14:09:00,175.6,0.19,0.16052,0.05956,0.0466,0.04304,0.03084,1.7411764705882353e-08,7.485714285714286e-07
2000-05-02 14:10:00,176.0,0.195,0.178,0.0583,0.0442,0.0403,0.0281,1.7411764705882353e-08,7.685714285714286e-07
2000-05-02 14:11:00,177.0,0.1788,0.1619,0.06122,0.0483,0.04468,0.03252,1.564705882352941e-08,7.714285714285715e-07
2000-05-02 14:12:00,178.0,0.1626,0.1457999999999999,0.06414,0.0524,0.04906,0.03694,1.4823529411764708e-08,7.528571428571429e-07
2000-05-02 14:13:00,179.0,0.1464,0.1297,0.06706,0.0564999999999999,0.05344,0.04136,1.3058823529411765e-08,7.328571428571429e-07
