time_tag,p3_flux_ic,p5_flux_ic,p7_flux_ic,short,long
2006-12-14 10:55:00,135.0,5.15,1.06,7.435294117647058e-09,2.128571428571429e-07
2006-12-14 10:56:00,135.0,5.072,1.0376,7.423529411764706e-09,2.1000000000000005e-07
2006-12-14 10:57:00,135.0,4.994,1.0152,6.882352941176471e-09,2.085714285714286e-07
2006-12-14 10:58:00,135.0,4.916,0.9928,6.976470588235294e-09,2.042857142857143e-07
2006-12-14 10:59:00,135.0,4.838,0.9704,6.811764705882353e-09,2.042857142857143e-07
2006-12-14 11:00:00,135.0,4.76,0.948,6.941176470588235e-09,2.028571428571429e-07
2006-12-14 11:01:00,135.8,4.746,0.9548,6.811764705882353e-09,2.0000000000000002e-07
2006-12-14 11:02:00,136.6,4.732,0.9616,6.905882352941177e-09,1.971428571428572e-07
2006-12-14 11:03:00,137.4,4.718,0.9684,6.847058823529412e-09,1.971428571428572e-07
2006-12-14 11:04:00,138.2,4.704000000000001,0.9752,6.788235294117647e-09,1.942857142857143e-07
2006-12-14 11:05:00,139.0,4.69,0.982,6.811764705882353e-09,1.957142857142857e-07
2006-12-14 11:06:00,138.8,4.708,0.9722,6.811764705882353e-09,1.971428571428572e-07
2006-12-14 11:07:00,138.6,4.726,0.9624,7.635294117647061e-09,2.042857142857143e-07
2006-12-14 11:08:00,138.4,4.744000000000001,0.9526,1.0388235294117648e-08,2.3714285714285722e-07
2006-12-14 11:09:00,138.2,4.7620000000000005,0.9428,1.2117647058823533e-08,2.6e-07
2006-12-14 11:10:00,138.0,4.78,0.933,1.3882352941176472e-08,2.828571428571429e-07
2006-12-14 11:11:00,138.2,4.7940000000000005,0.9454,1.1129411764705885e-08,2.742857142857143e-07
2006-12-14 11:12:00,138.4,4.808,0.9578,8.905882352941177e-09,2.5e-07
2006-12-14 11:13:00,138.6,4.822,0.9702,7.470588235294118e-09,2.328571428571429e-07
